"event.id","participant","type"
"dummy","BS","add.actor"
"dummy","HL","add.actor"
"dummy","BJ","add.actor"
"dummy","XB","add.actor"
"dummy","XA","add.actor"
"dummy","TS","add.actor"
"dummy","LP","add.actor"
"dummy","MO","add.actor"
"dummy","QU","add.actor"
"dummy","BB","add.actor"
"dummy","GU","add.actor"
"dummy","PL","add.actor"
"dummy","GT","add.actor"
"dummy","JO","add.actor"
"dummy","BO","add.actor"
"dummy","BA","add.actor"
"dummy","CR","add.actor"
"dummy","FE","add.actor"
"dummy","JP","add.actor"
"dummy","CM","add.actor"
"dummy","EN","add.actor"
"dummy","MM","add.actor"
"dummy","BT","add.actor"
"dummy","MA","add.actor"
"dummy","TG","add.actor"
"dummy","MV","add.actor"
"dummy","MP","add.actor"
"dummy","MG","add.actor"
"dummy","MN","add.actor"
"dummy","GI","add.actor"
"dummy","GA","add.actor"
"dummy","BU","add.actor"
"dummy","JD","add.actor"
"dummy","GR","add.actor"
"dummy","MI","add.actor"
"dummy","LL","add.actor"
"dummy","AZ","add.actor"
"dummy","EP","add.actor"
"dummy","BZ","add.actor"
"dummy","GP","add.actor"
"dummy","CC","add.actor"
"dummy","CN","add.actor"
"dummy","BR","add.actor"
"dummy","CH","add.actor"
"dummy","JU","add.actor"
"dummy","PO","add.actor"
"dummy","SC","add.actor"
"dummy","SS","add.actor"
"dummy","SP","add.actor"
"dummy","BM","add.actor"
"dummy","VI","add.actor"
"dummy","FF","add.actor"
"dummy","JA","add.actor"
"dummy","CO","add.actor"
"dummy","TH","add.actor"
"dummy","TM","add.actor"
"dummy","FN","add.actor"
"dummy","ZE","add.actor"
"dummy","DA","add.actor"
"dummy","FV","add.actor"
"dummy","BL","add.actor"
"dummy","FA","add.actor"
"dummy","LI","add.actor"
"dummy","FT","add.actor"
"dummy","PG","add.actor"
"dummy","IS","add.actor"
"dummy","MR","add.actor"
"dummy","MT","add.actor"
"dummy","JV","add.actor"
"dummy","JL","add.actor"
"dummy","GG","add.actor"
"dummy","SN","add.actor"
"dummy","CV","add.actor"
"dummy","MC","add.actor"
"dummy","GE","add.actor"
"dummy","CL","add.actor"
"dummy","ME","add.actor"
"dummy","MB","add.actor"
"dummy","NP","add.actor"
"dummy","MY","add.actor"
"dummy","AZ","is.female"
"dummy","BT","is.female"
"dummy","BU","is.female"
"dummy","CL","is.female"
"dummy","CO","is.female"
"dummy","DA","is.female"
"dummy","EP","is.female"
"dummy","FN","is.female"
"dummy","FV","is.female"
"dummy","HL","is.female"
"dummy","LL","is.female"
"dummy","MB","is.female"
"dummy","ME","is.female"
"dummy","MG","is.female"
"dummy","MI","is.female"
"dummy","MN","is.female"
"dummy","MP","is.female"
"dummy","MR","is.female"
"dummy","MT","is.female"
"dummy","MV","is.female"
"dummy","PL","is.female"
"dummy","PO","is.female"
"dummy","SP","is.female"
"dummy","SS","is.female"
"dummy","TM","is.female"
"dummy","TS","is.female"
"dummy","VI","is.female"
"dummy","ZE","is.female"
"1.1.1","MY","chapter"
"1.1.1","NP","chapter"
"1.1.1","MB","chapter"
"1.1.2","MY","chapter"
"1.1.2","ME","chapter"
"1.1.2","MB","chapter"
"1.1.3","MY","chapter"
"1.1.4","MY","chapter"
"1.1.4","ME","chapter"
"1.1.4","CL","chapter"
"1.1.4","GE","chapter"
"1.1.4","MC","chapter"
"1.1.4","MB","chapter"
"1.1.5","MY","chapter"
"1.1.5","MB","chapter"
"1.1.5","ME","chapter"
"1.1.6","ME","chapter"
"1.1.6","MY","chapter"
"1.1.7","MY","chapter"
"1.1.7","CV","chapter"
"1.1.7","MB","chapter"
"1.1.7","ME","chapter"
"1.1.8","SN","chapter"
"1.1.8","MY","chapter"
"1.1.9","MB","chapter"
"1.1.10","MY","chapter"
"1.1.10","GG","chapter"
"1.1.11","MY","chapter"
"1.1.12","MY","chapter"
"1.1.13","MY","chapter"
"1.1.14","MY","chapter"
"1.1.14","SN","chapter"
"1.2.1","JL","chapter"
"1.2.1","JV","chapter"
"1.2.1","MT","chapter"
"1.2.1","MR","chapter"
"1.2.2","ME","chapter"
"1.2.2","MB","chapter"
"1.2.2","MY","chapter"
"1.2.3","ME","chapter"
"1.2.3","MB","chapter"
"1.2.3","MY","chapter"
"1.2.3","JV","chapter"
"1.2.4","MY","chapter"
"1.2.4","JV","chapter"
"1.2.4","MB","chapter"
"1.2.4","ME","chapter"
"1.2.5","MY","chapter"
"1.2.5","ME","chapter"
"1.2.5","JV","chapter"
"1.2.6","JV","chapter"
"1.2.6","IS","chapter"
"1.2.7","JV","chapter"
"1.2.9","JV","chapter"
"1.2.10","JV","chapter"
"1.2.11","JV","chapter"
"1.2.12","MY","chapter"
"1.2.12","ME","chapter"
"1.2.12","JV","chapter"
"1.2.13","PG","chapter"
"1.2.13","JV","chapter"
"1.3.2","FT","chapter"
"1.3.2","LI","chapter"
"1.3.2","FA","chapter"
